,,,,,,,,,,,,,,,
AWS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Month,Overall Business,Cost on AWS,Margins ,Margin %,Invoiced to Customer,Yet to be Billed,,,,,,,,,
April,"₹ 22,41,051.00","₹ 2,53,075.00","₹ 19,87,976.00",89%,"₹ 11,62,266.00","₹ 10,78,785.00",,,,,,,,,
May,"₹ 11,39,860.00","₹ 7,51,419.00","₹ 3,88,441.00",34%,"₹ 8,96,682.00","₹ 2,43,178.00",,,,,,,,,
June,"₹ 13,56,217.00","₹ 14,57,918.00","₹ -1,01,701.00",-7%,"₹ 6,31,397.00","₹ 7,24,820.00",,,,,,,,,
,"₹ 47,61,148.00","₹ 24,62,412.00","₹ 22,74,716.00",48%,"₹ 26,90,345.00","₹ 20,46,783.00",,,,,,,,,
,,,,,,,,,,,,,,,
AZURE,,,,,,,,,,,PAYMENTS IN PIPELINE,,,,
,,,,,,,,,,,,,,,
Month,Overall Business,Cost on Azure,Margins,Margin %,Billed to Customer,Yet to be Billed,,,,,July,Aug,Sept,Oct,
April,"₹ 26,12,794.00","₹ 2,93,507.00","₹ 23,19,287.00",89%,"₹ 20,78,545.00","₹ 5,34,249.00",,,,AWS,"₹ 15,77,024.00","₹ 2,88,253.00","₹ 76,756.00","₹ 1,28,770.00","₹ 20,70,803.00"
May,"₹ 13,59,420.00","₹ 3,13,094.00","₹ 10,46,326.00",77%,"₹ 13,42,360.00","₹ 17,060.00",,,,AZURE,"₹ 7,95,644.00","₹ 7,20,523.00","₹ 17,060.00",NA,"₹ 15,33,227.00"
June,"₹ 20,21,766.00",Yet to Receive Bill,,0%,"₹ 10,39,848.00",,,,,GCP,"₹ 61,600.00","₹ 1,81,260.00",NA,"₹ 8,500.00","₹ 2,51,360.00"
,"₹ 59,93,980.00","₹ 6,06,601.00","₹ 33,65,613.00",56%,"₹ 44,60,753.00","₹ 5,51,309.00",,,,,"₹ 24,34,268.00","₹ 11,90,036.00","₹ 93,816.00","₹ 1,37,270.00",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GCP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Month,Overall Business,Cost on GCP,Margins,Margin %,Billed to Customer,Yet to be Billed,,,,,,,,,
April,"₹ 1,61,644.00","₹ 54,819.00","₹ 1,06,825.00",66%,"₹ 1,61,644.00",₹ 0.00,,,,,,,,,
May,"₹ 40,287.00","₹ 25,989.00","₹ 14,298.00",35%,"₹ 40,287.00",₹ 0.00,,,,,,,,,
June,"₹ 2,51,360.00","₹ 87,297.00","₹ 1,64,063.00",65%,₹ 0.00,"₹ 2,51,360.00",,,,,,,,,
,"₹ 4,53,291.00","₹ 1,68,105.00","₹ 2,85,186.00",63%,"₹ 2,01,931.00","₹ 2,51,360.00",,,,,,,,,
,,,,,,,,,,,,,,,
